diameter_um,area_m2_g,measured_umol_O_g,bridging_capacity_umol_O_g,reconstruction_deficiency_umol_O_g,inventory_over_capacity,surface_fraction_max_pct,below_surface_fraction_min_pct,x_in_TiO2mx,Ti3_fraction_pct
0.9,1.5692563848378798,30.0,13.55702643902137,6.778513219510685,2.2128746399468984,22.59504406503562,77.40495593496438,0.00239598,0.47919599999999996
0.9,1.5692563848378798,40.0,13.55702643902137,6.778513219510685,2.950499519929198,16.946283048776714,83.0537169512233,0.00319464,0.6389279999999999
0.9,1.5692563848378798,60.0,13.55702643902137,6.778513219510685,4.425749279893797,11.29752203251781,88.70247796748218,0.00479196,0.9583919999999999
0.9,1.5692563848378798,95.0,13.55702643902137,6.778513219510685,7.007436359831845,7.135277073169142,92.86472292683085,0.007587269999999999,1.5174539999999999
0.9,1.5692563848378798,130.0,13.55702643902137,6.778513219510685,9.589123439769894,5.214240938085143,94.78575906191486,0.010382579999999999,2.076516
0.9,1.5692563848378798,150.0,13.55702643902137,6.778513219510685,11.064373199734492,4.519008813007123,95.48099118699288,0.0119799,2.3959799999999998
0.9,1.5692563848378798,190.0,13.55702643902137,6.778513219510685,14.01487271966369,3.567638536584571,96.43236146341543,0.015174539999999999,3.0349079999999997
0.9,1.5692563848378798,220.0,13.55702643902137,6.778513219510685,16.22774735961059,3.081142372504857,96.91885762749514,0.01757052,3.5141039999999997
1.6,0.8827067164713074,30.0,7.625827371949523,3.8129136859747614,3.9339993599055965,12.709712286582539,87.29028771341746,0.00239598,0.47919599999999996
1.6,0.8827067164713074,40.0,7.625827371949523,3.8129136859747614,5.245332479874128,9.532284214936904,90.46771578506309,0.00319464,0.6389279999999999
1.6,0.8827067164713074,60.0,7.625827371949523,3.8129136859747614,7.867998719811193,6.354856143291269,93.64514385670873,0.00479196,0.9583919999999999
1.6,0.8827067164713074,95.0,7.625827371949523,3.8129136859747614,12.457664639701056,4.013593353657644,95.98640664634236,0.007587269999999999,1.5174539999999999
1.6,0.8827067164713074,130.0,7.625827371949523,3.8129136859747614,17.047330559590918,2.9330105276728933,97.06698947232711,0.010382579999999999,2.076516
1.6,0.8827067164713074,150.0,7.625827371949523,3.8129136859747614,19.669996799527983,2.541942457316508,97.45805754268349,0.0119799,2.3959799999999998
1.6,0.8827067164713074,190.0,7.625827371949523,3.8129136859747614,24.915329279402112,2.006796676828822,97.99320332317117,0.015174539999999999,3.0349079999999997
1.6,0.8827067164713074,220.0,7.625827371949523,3.8129136859747614,28.849328639307707,1.7331425845339823,98.266857415466,0.01757052,3.5141039999999997
