sample,family,variant,diameter_nm,energy_map,closure,reactive,cls,flags,theta_bri,bridging_capacity_umol_g,N_react_umol_g,TOF_s_1,N_react_uncapped_umol_g,TOF_uncapped_s_1,pair_fraction,iterations,inventory_residual
R500,PRIMARY,,900,PAB,LOCAL,ISO_z2,PRIMARY,,0.102503,13.5581,1.11944,3.36775,1.11944,3.36775,0,10,7.1e-15
R500,PRIMARY,,900,PAB,LOCAL,ISO_z4,PRIMARY,,0.102503,13.5581,0.90171,4.18094,0.90171,4.18094,0,10,7.1e-15
R500,PRIMARY,,900,PAB,LOCAL,ISO_z8,PRIMARY,,0.102503,13.5581,0.585057,6.44381,0.585057,6.44381,0,10,7.1e-15
R600,PRIMARY,,900,PAB,LOCAL,BRI,PRIMARY,RECON_CAP,0.221594,13.5581,2.30487,1.70075,3.00439,1.30476,0,9,2.8e-14
R600,PRIMARY,,900,PAB,LOCAL,ISO_z2,PRIMARY,RECON_CAP,0.221594,13.5581,1.58783,2.46879,1.82041,2.15337,0,9,2.8e-14
R600,PRIMARY,,900,PAB,LOCAL,ISO_z4,PRIMARY,RECON_CAP,0.221594,13.5581,1.09385,3.58366,1.10301,3.55391,0,9,2.8e-14
R600,PRIMARY,,900,PAB,LOCAL,ISO_z8,PRIMARY,RECON_CAP,0.221594,13.5581,0.519124,7.55118,0.404953,9.68014,0,9,2.8e-14
R800,PRIMARY,,900,PAB,LOCAL,BRI,PRIMARY,RECON_CAP,0.357693,13.5581,2.30487,0.872066,4.84963,0.414465,0,8,-2.8e-14
R800,PRIMARY,,900,PAB,LOCAL,ISO_z2,PRIMARY,RECON_CAP,0.357693,13.5581,1.58783,1.26588,2.00075,1.00462,0,8,-2.8e-14
R800,PRIMARY,,900,PAB,LOCAL,ISO_z4,PRIMARY,RECON_CAP,0.357693,13.5581,1.09385,1.83754,0.825426,2.43511,0,8,-2.8e-14
R800,PRIMARY,,900,PAB,LOCAL,ISO_z8,PRIMARY,RECON_CAP,0.357693,13.5581,0.519124,3.87191,0.140491,14.307,0,8,-2.8e-14
R1000,PRIMARY,,900,PAB,LOCAL,BRI,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.613463,13.5581,2.30487,0.0196974,8.31738,0.00545845,0,6,-5.2e-11
R1000,PRIMARY,,900,PAB,LOCAL,ISO_z2,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.613463,13.5581,1.58783,0.0285926,1.2427,0.0365333,0,6,-5.2e-11
R1000,PRIMARY,,900,PAB,LOCAL,ISO_z4,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.613463,13.5581,1.09385,0.0415047,0.185673,0.244516,0,6,-5.2e-11
R1000,PRIMARY,,900,PAB,LOCAL,ISO_z8,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.613463,13.5581,0.519124,0.087455,0.00414487,,0,6,-5.2e-11
R600,inventory,R600 94.6,900,PAB,LOCAL,BRI,SENSITIVITY,RECON_CAP,0.222648,13.5581,2.30487,1.70075,3.01867,1.29858,0,9,8.5e-14
R600,inventory,R600 94.6,900,PAB,LOCAL,ISO_z2,SENSITIVITY,RECON_CAP,0.222648,13.5581,1.58783,2.46879,1.82411,2.14899,0,9,8.5e-14
R600,inventory,R600 94.6,900,PAB,LOCAL,ISO_z4,SENSITIVITY,RECON_CAP,0.222648,13.5581,1.09385,3.58366,1.10227,3.5563,0,9,8.5e-14
R600,inventory,R600 94.6,900,PAB,LOCAL,ISO_z8,SENSITIVITY,RECON_CAP,0.222648,13.5581,0.519124,7.55118,0.402494,9.73928,0,9,8.5e-14
A600,basal,alpha 1,900,PAB,LOCAL,BRI+BASAL,SENSITIVITY,,0.0403244,13.5581,0.546721,4.13374,0.546721,4.13374,0,11,-2.5e-14
R500,basal,alpha 1,900,PAB,LOCAL,BRI+BASAL,SENSITIVITY,,0.102503,13.5581,1.38975,2.71272,1.38975,2.71272,0,10,7.1e-15
R600,basal,alpha 1,900,PAB,LOCAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.221594,13.5581,2.30487,1.70074,3.00439,1.30476,0,9,2.8e-14
R800,basal,alpha 1,900,PAB,LOCAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.357693,13.5581,2.30487,0.872065,4.84963,0.414464,0,8,-2.8e-14
R1000,basal,alpha 1,900,PAB,LOCAL,BRI+BASAL,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.613463,13.5581,2.30488,0.0196973,8.31739,0.00545845,0,6,-5.2e-11
A600,PRIMARY,,900,HAM,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.924966,13.5581,2.30487,0.980532,12.5407,0.180213,0,13,-1.8e-15
A600,PRIMARY,,900,HAM,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.924966,13.5581,1.58783,1.42333,0.0706062,,0,13,-1.8e-15
A600,PRIMARY,,900,HAM,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.924966,13.5581,1.09385,2.06609,0.000397523,,0,13,-1.8e-15
A600,PRIMARY,,900,HAM,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.924966,13.5581,0.519124,4.35349,1.26009e-08,,0,13,-1.8e-15
R500,PRIMARY,,900,HAM,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.999739,13.5581,2.30487,1.63567,13.5545,0.278136,0,12,7.8e-14
R500,PRIMARY,,900,HAM,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.999739,13.5581,1.58783,2.37432,9.21595e-07,,0,12,7.8e-14
R500,PRIMARY,,900,HAM,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.999739,13.5581,1.09385,3.44653,6.26608e-14,,0,12,7.8e-14
R500,PRIMARY,,900,HAM,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.999739,13.5581,0.519124,7.26223,2.89673e-28,,0,12,7.8e-14
R600,PRIMARY,,900,HAM,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.99996,13.5581,2.30487,1.70075,13.5575,0.289138,0,10,4.3e-11
R600,PRIMARY,,900,HAM,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.99996,13.5581,1.58783,2.46879,2.18373e-08,,0,10,4.3e-11
R600,PRIMARY,,900,HAM,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.99996,13.5581,1.09385,3.58366,3.51736e-17,,0,10,4.3e-11
R600,PRIMARY,,900,HAM,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.99996,13.5581,0.519124,7.55118,9.12546e-35,,0,10,4.3e-11
R800,PRIMARY,,900,HAM,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.999984,13.5581,2.30487,0.872066,13.5578,0.148254,0,10,8.5e-14
R800,PRIMARY,,900,HAM,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.999984,13.5581,1.58783,1.26588,3.50536e-09,,0,10,8.5e-14
R800,PRIMARY,,900,HAM,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.999984,13.5581,1.09385,1.83754,9.06304e-19,,0,10,8.5e-14
R800,PRIMARY,,900,HAM,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.999984,13.5581,0.519124,3.87191,6.05839e-38,,0,10,8.5e-14
R1000,PRIMARY,,900,HAM,NEUTRAL,BRI,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.999997,13.5581,2.30487,0.0196974,13.558,0.00334857,0,8,2.3e-13
R1000,PRIMARY,,900,HAM,NEUTRAL,ISO_z2,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.999997,13.5581,1.58783,0.0285926,1.58413e-10,,0,8,2.3e-13
R1000,PRIMARY,,900,HAM,NEUTRAL,ISO_z4,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.999997,13.5581,1.09385,0.0415047,1.8509e-21,,0,8,2.3e-13
R1000,PRIMARY,,900,HAM,NEUTRAL,ISO_z8,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.999997,13.5581,0.519124,0.087455,2.5268e-43,,0,8,2.3e-13
R600,inventory,R600 94.6,900,HAM,NEUTRAL,BRI,SENSITIVITY,RECON_CAP,0.99996,13.5581,2.30487,1.70075,13.5575,0.289138,0,10,3.7e-11
R600,inventory,R600 94.6,900,HAM,NEUTRAL,ISO_z2,SENSITIVITY,RECON_CAP,0.99996,13.5581,1.58783,2.46879,2.145e-08,,0,10,3.7e-11
R600,inventory,R600 94.6,900,HAM,NEUTRAL,ISO_z4,SENSITIVITY,RECON_CAP,0.99996,13.5581,1.09385,3.58366,3.3937e-17,,0,10,3.7e-11
R600,inventory,R600 94.6,900,HAM,NEUTRAL,ISO_z8,SENSITIVITY,RECON_CAP,0.99996,13.5581,0.519124,7.55118,8.49507e-35,,0,10,3.7e-11
A600,basal,alpha 1,900,HAM,NEUTRAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.924966,13.5581,2.30487,0.980531,12.5407,0.180213,0,13,-1.8e-15
R500,basal,alpha 1,900,HAM,NEUTRAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.999739,13.5581,2.30553,1.6352,13.5552,0.278122,0,12,7.8e-14
R600,basal,alpha 1,900,HAM,NEUTRAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.99996,13.5581,2.30917,1.69758,13.5618,0.289047,0,10,4.3e-11
R800,basal,alpha 1,900,HAM,NEUTRAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.999984,13.5581,2.31559,0.868028,13.5686,0.148136,0,10,8.5e-14
R1000,basal,alpha 1,900,HAM,NEUTRAL,BRI+BASAL,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.999997,13.5581,2.35524,0.0192761,13.6084,0.00333618,0,8,2.3e-13
A600,PRIMARY,,900,HAM,LOCAL,BRI,PRIMARY,RECON_CAP,0.187991,13.5581,2.30487,0.980532,2.54879,0.886695,0,11,-1.6e-14
A600,PRIMARY,,900,HAM,LOCAL,ISO_z2,PRIMARY,RECON_CAP,0.187991,13.5581,1.58783,1.42333,1.68057,1.34478,0,11,-1.6e-14
A600,PRIMARY,,900,HAM,LOCAL,ISO_z4,PRIMARY,RECON_CAP,0.187991,13.5581,1.09385,2.06609,1.1081,2.03953,0,11,-1.6e-14
A600,PRIMARY,,900,HAM,LOCAL,ISO_z8,PRIMARY,RECON_CAP,0.187991,13.5581,0.519124,4.35349,0.48175,4.69123,0,11,-1.6e-14
R500,PRIMARY,,900,HAM,LOCAL,BRI,PRIMARY,RECON_CAP,0.399737,13.5581,2.30487,1.63567,5.41966,0.695616,0,10,-1.4e-14
R500,PRIMARY,,900,HAM,LOCAL,ISO_z2,PRIMARY,RECON_CAP,0.399737,13.5581,1.58783,2.37432,1.95279,1.93057,0,10,-1.4e-14
R500,PRIMARY,,900,HAM,LOCAL,ISO_z4,PRIMARY,RECON_CAP,0.399737,13.5581,1.09385,3.44653,0.70362,5.358,0,10,-1.4e-14
R500,PRIMARY,,900,HAM,LOCAL,ISO_z8,PRIMARY,RECON_CAP,0.399737,13.5581,0.519124,7.26223,0.0913492,,0,10,-1.4e-14
R600,PRIMARY,,900,HAM,LOCAL,BRI,PRIMARY,RECON_CAP,0.640962,13.5581,2.30487,1.70075,8.6902,0.451083,0,9,4.3e-14
R600,PRIMARY,,900,HAM,LOCAL,ISO_z2,PRIMARY,RECON_CAP,0.640962,13.5581,1.58783,2.46879,1.12024,3.49925,0,9,4.3e-14
R600,PRIMARY,,900,HAM,LOCAL,ISO_z4,PRIMARY,RECON_CAP,0.640962,13.5581,1.09385,3.58366,0.144409,27.1452,0,9,4.3e-14
R600,PRIMARY,,900,HAM,LOCAL,ISO_z8,PRIMARY,RECON_CAP,0.640962,13.5581,0.519124,7.55118,0.0023997,,0,9,4.3e-14
R800,PRIMARY,,900,HAM,LOCAL,BRI,PRIMARY,RECON_CAP,0.785398,13.5581,2.30487,0.872066,10.6485,0.188759,0,8,5.7e-14
R800,PRIMARY,,900,HAM,LOCAL,ISO_z2,PRIMARY,RECON_CAP,0.785398,13.5581,1.58783,1.26588,0.490405,4.09865,0,8,5.7e-14
R800,PRIMARY,,900,HAM,LOCAL,ISO_z4,PRIMARY,RECON_CAP,0.785398,13.5581,1.09385,1.83754,0.0225852,,0,8,5.7e-14
R800,PRIMARY,,900,HAM,LOCAL,ISO_z8,PRIMARY,RECON_CAP,0.785398,13.5581,0.519124,3.87191,4.79026e-05,,0,8,5.7e-14
R1000,PRIMARY,,900,HAM,LOCAL,BRI,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.907953,13.5581,2.30487,0.0196974,12.3101,0.00368803,0,6,-5.9e-11
R1000,PRIMARY,,900,HAM,LOCAL,ISO_z2,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.907953,13.5581,1.58783,0.0285926,0.104298,,0,6,-5.9e-11
R1000,PRIMARY,,900,HAM,LOCAL,ISO_z4,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.907953,13.5581,1.09385,0.0415047,0.000883676,,0,6,-5.9e-11
R1000,PRIMARY,,900,HAM,LOCAL,ISO_z8,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.907953,13.5581,0.519124,0.087455,6.34344e-08,,0,6,-5.9e-11
R600,inventory,R600 94.6,900,HAM,LOCAL,BRI,SENSITIVITY,RECON_CAP,0.642477,13.5581,2.30487,1.70075,8.71074,0.450019,0,9,9.9e-14
R600,inventory,R600 94.6,900,HAM,LOCAL,ISO_z2,SENSITIVITY,RECON_CAP,0.642477,13.5581,1.58783,2.46879,1.11343,3.52064,0,9,9.9e-14
R600,inventory,R600 94.6,900,HAM,LOCAL,ISO_z4,SENSITIVITY,RECON_CAP,0.642477,13.5581,1.09385,3.58366,0.142322,27.5431,0,9,9.9e-14
R600,inventory,R600 94.6,900,HAM,LOCAL,ISO_z8,SENSITIVITY,RECON_CAP,0.642477,13.5581,0.519124,7.55118,0.00232537,,0,9,9.9e-14
A600,basal,alpha 1,900,HAM,LOCAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.187991,13.5581,2.30487,0.980532,2.54879,0.886695,0,11,-1.6e-14
R500,basal,alpha 1,900,HAM,LOCAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.399737,13.5581,2.30487,1.63567,5.41966,0.695616,0,10,-1.4e-14
R600,basal,alpha 1,900,HAM,LOCAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.640962,13.5581,2.30487,1.70075,8.6902,0.451083,0,9,4.3e-14
R800,basal,alpha 1,900,HAM,LOCAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.785398,13.5581,2.30487,0.872066,10.6485,0.188759,0,8,5.7e-14
R1000,basal,alpha 1,900,HAM,LOCAL,BRI+BASAL,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.907953,13.5581,2.30487,0.0196974,12.3101,0.00368803,0,6,-5.9e-11
A600,PRIMARY,,900,LI_SBR1,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.974982,13.5581,2.30487,0.980532,13.2189,0.170968,0,14,-4.5e-13
A600,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.974982,13.5581,1.58783,1.42333,0.00827368,,0,14,-4.5e-13
A600,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.974982,13.5581,1.09385,2.06609,5.17849e-06,,0,14,-4.5e-13
A600,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.974982,13.5581,0.519124,4.35349,2.02868e-12,,0,14,-4.5e-13
R500,PRIMARY,,900,LI_SBR1,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.99994,13.5581,2.30487,1.63567,13.5573,0.27808,0,12,-7.1e-15
R500,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.99994,13.5581,1.58783,2.37432,4.80665e-08,,0,12,-7.1e-15
