sample,status,diameter_nm,energy_map,closure,reactive,theta_bri,N_react_umol_g,TOF_s_1,iterations,inventory_residual,charge_residual
R600,INVALID,900,LI_L2,LOCAL,ISO_z8,0.731445,0.000268318,14609.5,9,-2.8e-14,1.7e-13
R800,VALID,900,LI_L2,LOCAL,BRI,0.856862,11.6174,0.173016,8,8.5e-14,1.7e-13
R800,VALID,900,LI_L2,LOCAL,ISO_z2,0.856862,0.238022,8.44459,8,8.5e-14,1.7e-13
R800,INVALID,900,LI_L2,LOCAL,ISO_z4,0.856862,0.0048767,412.164,8,8.5e-14,1.7e-13
R800,INVALID,900,LI_L2,LOCAL,ISO_z8,0.856862,2.04712e-06,981866,8,8.5e-14,1.7e-13
R1000,VALID,900,LI_L2,LOCAL,BRI,0.965049,13.0842,0.00346984,6,2.2e-10,4.7e-10
R1000,INVALID,900,LI_L2,LOCAL,ISO_z2,0.965049,0.0159834,2.84044,6,2.2e-10,4.7e-10
R1000,INVALID,900,LI_L2,LOCAL,ISO_z4,0.965049,1.9525e-05,2325.22,6,2.2e-10,4.7e-10
R1000,INVALID,900,LI_L2,LOCAL,ISO_z8,0.965049,2.91365e-11,1.55818e+09,6,2.2e-10,4.7e-10
A600,VALID,900,LI_CONT_xi0.25,LOCAL,BRI,0.107415,1.45634,1.55183,18,-1.1e-11,4.3e-12
A600,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z2,0.107415,1.16028,1.94781,18,-1.1e-11,4.3e-12
A600,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z4,0.107415,0.924403,2.44482,18,-1.1e-11,4.3e-12
A600,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z8,0.107415,0.586758,3.85167,18,-1.1e-11,4.3e-12
R500,VALID,900,LI_CONT_xi0.25,LOCAL,BRI,0.180702,2.44997,1.5388,17,-2.2e-11,1.1e-11
R500,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z2,0.180702,1.64454,2.29243,17,-2.2e-11,1.1e-11
R500,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z4,0.180702,1.1039,3.41518,17,-2.2e-11,1.1e-11
R500,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z8,0.180702,0.497389,7.57959,17,-2.2e-11,1.1e-11
R600,VALID,900,LI_CONT_xi0.25,LOCAL,BRI,0.226492,3.07079,1.27654,10,1.1e-13,4.4e-16
R600,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z2,0.226492,1.8373,2.13357,10,1.1e-13,4.4e-16
R600,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z4,0.226492,1.09928,3.56596,10,1.1e-13,4.4e-16
R600,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z8,0.226492,0.393522,9.96132,10,1.1e-13,4.4e-16
R800,VALID,900,LI_CONT_xi0.25,LOCAL,BRI,0.241488,3.27411,0.613907,8,5.7e-14,7.8e-16
R800,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z2,0.241488,1.88373,1.06703,8,5.7e-14,7.8e-16
R800,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z4,0.241488,1.08378,1.85461,8,5.7e-14,7.8e-16
R800,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z8,0.241488,0.35875,5.60278,8,5.7e-14,7.8e-16
R1000,VALID,900,LI_CONT_xi0.25,LOCAL,BRI,0.249048,3.37661,0.0134454,6,-5.6e-11,6.7e-13
R1000,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z2,0.249048,1.90417,0.0238424,6,-5.6e-11,6.7e-13
R1000,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z4,0.249048,1.07381,0.0422792,6,-5.6e-11,6.7e-13
R1000,VALID,900,LI_CONT_xi0.25,LOCAL,ISO_z8,0.249048,0.34149,0.132947,6,-5.6e-11,6.7e-13
A600,VALID,900,LI_CONT_xi0.5,LOCAL,BRI,0.101318,1.37368,1.64522,18,-9.0e-12,4.4e-12
A600,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z2,0.101318,1.10942,2.0371,18,-9.0e-12,4.4e-12
A600,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z4,0.101318,0.896001,2.52232,18,-9.0e-12,4.4e-12
A600,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z8,0.101318,0.58443,3.86702,18,-9.0e-12,4.4e-12
R500,VALID,900,LI_CONT_xi0.5,LOCAL,BRI,0.175922,2.38516,1.58061,15,2.5e-11,1.4e-11
R500,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z2,0.175922,1.61977,2.32749,15,2.5e-11,1.4e-11
R500,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z4,0.175922,1.1,3.42729,15,2.5e-11,1.4e-11
R500,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z8,0.175922,0.507299,7.43151,15,2.5e-11,1.4e-11
R600,VALID,900,LI_CONT_xi0.5,LOCAL,BRI,0.224856,3.04861,1.28583,9,-2.8e-14,1.1e-16
R600,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z2,0.224856,1.83175,2.14003,9,-2.8e-14,1.1e-16
R600,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z4,0.224856,1.10061,3.56168,9,-2.8e-14,1.1e-16
R600,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z8,0.224856,0.397339,9.86564,9,-2.8e-14,1.1e-16
R800,VALID,900,LI_CONT_xi0.5,LOCAL,BRI,0.241026,3.26785,0.615084,8,8.5e-14,1.9e-16
R800,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z2,0.241026,1.88242,1.06778,8,8.5e-14,1.9e-16
R800,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z4,0.241026,1.08435,1.85365,8,8.5e-14,1.9e-16
R800,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z8,0.241026,0.359812,5.58624,8,8.5e-14,1.9e-16
R1000,VALID,900,LI_CONT_xi0.5,LOCAL,BRI,0.249025,3.37629,0.0134467,6,-7.3e-11,7.7e-13
R1000,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z2,0.249025,1.90411,0.0238432,6,-7.3e-11,7.7e-13
R1000,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z4,0.249025,1.07385,0.0422779,6,-7.3e-11,7.7e-13
R1000,VALID,900,LI_CONT_xi0.5,LOCAL,ISO_z8,0.249025,0.341543,0.132926,6,-7.3e-11,7.7e-13
A600,VALID,900,LI_CONT_xi1,LOCAL,BRI,0.090668,1.22928,1.83847,16,1.0e-11,4.2e-12
A600,VALID,900,LI_CONT_xi1,LOCAL,ISO_z2,0.090668,1.01648,2.22337,16,1.0e-11,4.2e-12
A600,VALID,900,LI_CONT_xi1,LOCAL,ISO_z4,0.090668,0.840508,2.68885,16,1.0e-11,4.2e-12
A600,VALID,900,LI_CONT_xi1,LOCAL,ISO_z8,0.090668,0.574687,3.93257,16,1.0e-11,4.2e-12
R500,VALID,900,LI_CONT_xi1,LOCAL,BRI,0.166473,2.25705,1.67032,14,2.6e-11,1.7e-11
R500,VALID,900,LI_CONT_xi1,LOCAL,ISO_z2,0.166473,1.56812,2.40415,14,2.6e-11,1.7e-11
R500,VALID,900,LI_CONT_xi1,LOCAL,ISO_z4,0.166473,1.08948,3.46036,14,2.6e-11,1.7e-11
R500,VALID,900,LI_CONT_xi1,LOCAL,ISO_z8,0.166473,0.525895,7.16873,14,2.6e-11,1.7e-11
R600,VALID,900,LI_CONT_xi1,LOCAL,BRI,0.221354,3.00114,1.30617,9,4.3e-14,2.8e-16
R600,VALID,900,LI_CONT_xi1,LOCAL,ISO_z2,0.221354,1.81956,2.15437,9,4.3e-14,2.8e-16
R600,VALID,900,LI_CONT_xi1,LOCAL,ISO_z4,0.221354,1.10318,3.55337,9,4.3e-14,2.8e-16
R600,VALID,900,LI_CONT_xi1,LOCAL,ISO_z8,0.221354,0.405513,9.66678,9,4.3e-14,2.8e-16
R800,VALID,900,LI_CONT_xi1,LOCAL,BRI,0.24003,3.25434,0.617637,8,2.8e-14,3.3e-16
R800,VALID,900,LI_CONT_xi1,LOCAL,ISO_z2,0.24003,1.87956,1.0694,8,2.8e-14,3.3e-16
R800,VALID,900,LI_CONT_xi1,LOCAL,ISO_z4,0.24003,1.08555,1.8516,8,2.8e-14,3.3e-16
R800,VALID,900,LI_CONT_xi1,LOCAL,ISO_z8,0.24003,0.362105,5.55087,8,2.8e-14,3.3e-16
R1000,VALID,900,LI_CONT_xi1,LOCAL,BRI,0.248976,3.37563,0.0134494,6,-1.2e-10,1.0e-12
R1000,VALID,900,LI_CONT_xi1,LOCAL,ISO_z2,0.248976,1.90398,0.0238448,6,-1.2e-10,1.0e-12
R1000,VALID,900,LI_CONT_xi1,LOCAL,ISO_z4,0.248976,1.07392,0.0422752,6,-1.2e-10,1.0e-12
R1000,VALID,900,LI_CONT_xi1,LOCAL,ISO_z8,0.248976,0.341654,0.132883,6,-1.2e-10,1.0e-12
A600,VALID,600,PAB,NEUTRAL,BRI,0.499502,10.1584,0.222475,12,-1.2e-14,0.0e+00
A600,VALID,600,PAB,NEUTRAL,ISO_z2,0.499502,2.54466,0.888133,12,-1.2e-14,0.0e+00
A600,VALID,600,PAB,NEUTRAL,ISO_z4,0.499502,0.637434,3.54547,12,-1.2e-14,0.0e+00
A600,INVALID,600,PAB,NEUTRAL,ISO_z8,0.499502,0.0399985,56.5021,12,-1.2e-14,0.0e+00
R500,VALID,600,PAB,NEUTRAL,BRI,0.911543,18.5381,0.203365,12,7.1e-15,0.0e+00
R500,INVALID,600,PAB,NEUTRAL,ISO_z2,0.911543,0.145055,25.9901,12,7.1e-15,0.0e+00
R500,INVALID,600,PAB,NEUTRAL,ISO_z4,0.911543,0.00113502,3321.54,12,7.1e-15,0.0e+00
R500,INVALID,600,PAB,NEUTRAL,ISO_z8,0.911543,6.94927e-08,5.42503e+07,12,7.1e-15,0.0e+00
R600,VALID,600,PAB,NEUTRAL,BRI,0.989893,20.1315,0.194719,11,-2.8e-14,0.0e+00
R600,INVALID,600,PAB,NEUTRAL,ISO_z2,0.989893,0.00205663,1906.04,11,-2.8e-14,0.0e+00
R600,INVALID,600,PAB,NEUTRAL,ISO_z4,0.989893,2.10104e-07,1.86575e+07,11,-2.8e-14,0.0e+00
R600,INVALID,600,PAB,NEUTRAL,ISO_z8,0.989893,2.19275e-15,1.78771e+15,11,-2.8e-14,0.0e+00
R800,VALID,600,PAB,NEUTRAL,BRI,0.996398,20.2638,0.0991915,10,2.8e-14,0.0e+00
R800,INVALID,600,PAB,NEUTRAL,ISO_z2,0.996398,0.000262915,7645.06,10,2.8e-14,0.0e+00
R800,INVALID,600,PAB,NEUTRAL,ISO_z4,0.996398,3.41121e-09,5.89234e+08,10,2.8e-14,0.0e+00
R800,INVALID,600,PAB,NEUTRAL,ISO_z8,0.996398,5.74243e-19,3.50026e+18,10,2.8e-14,0.0e+00
R1000,VALID,600,PAB,NEUTRAL,BRI,0.999287,20.3226,0.00223397,8,3.4e-13,0.0e+00
R1000,INVALID,600,PAB,NEUTRAL,ISO_z2,0.999287,1.03207e-05,4398.93,8,3.4e-13,0.0e+00
R1000,INVALID,600,PAB,NEUTRAL,ISO_z4,0.999287,5.24129e-12,8.66199e+09,8,3.4e-13,0.0e+00
R1000,INVALID,600,PAB,NEUTRAL,ISO_z8,0.999287,1.35175e-24,3.3586e+22,8,3.4e-13,0.0e+00
A600,VALID,600,HAM,NEUTRAL,BRI,0.650773,13.2348,0.170762,12,-5.4e-13,0.0e+00
A600,VALID,600,HAM,NEUTRAL,ISO_z2,0.650773,1.61411,1.40015,12,-5.4e-13,0.0e+00
A600,INVALID,600,HAM,NEUTRAL,ISO_z4,0.650773,0.196857,11.4804,12,-5.4e-13,0.0e+00
A600,INVALID,600,HAM,NEUTRAL,ISO_z8,0.650773,0.00292808,771.838,12,-5.4e-13,0.0e+00
R500,VALID,600,HAM,NEUTRAL,BRI,0.998081,20.2981,0.185732,12,-7.1e-15,0.0e+00
R500,INVALID,600,HAM,NEUTRAL,ISO_z2,0.998081,7.47802e-05,50414.4,12,-7.1e-15,0.0e+00
R500,INVALID,600,HAM,NEUTRAL,ISO_z4,0.998081,2.75499e-10,1.36843e+10,12,-7.1e-15,0.0e+00
R500,INVALID,600,HAM,NEUTRAL,ISO_z8,0.998081,3.73925e-21,1.00822e+21,12,-7.1e-15,0.0e+00
R600,VALID,600,HAM,NEUTRAL,BRI,0.999949,20.3361,0.192761,11,0.0e+00,0.0e+00
R600,INVALID,600,HAM,NEUTRAL,ISO_z2,0.999949,5.32923e-08,7.35565e+07,11,0.0e+00,0.0e+00
R600,INVALID,600,HAM,NEUTRAL,ISO_z4,0.999949,1.39657e-16,2.80688e+16,11,0.0e+00,0.0e+00
R600,INVALID,600,HAM,NEUTRAL,ISO_z8,0.999949,9.59089e-34,4.08721e+33,11,0.0e+00,0.0e+00
R800,VALID,600,HAM,NEUTRAL,BRI,0.999982,20.3367,0.0988359,10,0.0e+00,0.0e+00
R800,INVALID,600,HAM,NEUTRAL,ISO_z2,0.999982,6.45586e-09,3.11345e+08,10,0.0e+00,0.0e+00
R800,INVALID,600,HAM,NEUTRAL,ISO_z4,0.999982,2.0494e-18,9.80774e+17,10,0.0e+00,0.0e+00
R800,INVALID,600,HAM,NEUTRAL,ISO_z8,0.999982,2.06525e-37,9.73246e+36,10,0.0e+00,0.0e+00
R1000,VALID,600,HAM,NEUTRAL,BRI,0.999996,20.337,0.00223238,8,1.1e-13,0.0e+00
R1000,INVALID,600,HAM,NEUTRAL,ISO_z2,0.999996,2.52431e-10,1.79851e+08,8,1.1e-13,0.0e+00
R1000,INVALID,600,HAM,NEUTRAL,ISO_z4,0.999996,3.13328e-21,1.44896e+19,8,1.1e-13,0.0e+00
R1000,INVALID,600,HAM,NEUTRAL,ISO_z8,0.999996,4.82738e-43,9.40468e+40,8,1.1e-13,0.0e+00
A600,VALID,600,LI_SBR1,NEUTRAL,BRI,0.660524,13.4331,0.168241,15,0.0e+00,0.0e+00
A600,VALID,600,LI_SBR1,NEUTRAL,ISO_z2,0.660524,1.54809,1.45987,15,0.0e+00,0.0e+00
A600,INVALID,600,LI_SBR1,NEUTRAL,ISO_z4,0.660524,0.178407,12.6677,15,0.0e+00,0.0e+00
A600,INVALID,600,LI_SBR1,NEUTRAL,ISO_z8,0.660524,0.00236944,953.81,15,0.0e+00,0.0e+00
R500,VALID,600,LI_SBR1,NEUTRAL,BRI,0.99979,20.3328,0.185414,12,-7.1e-15,0.0e+00
R500,INVALID,600,LI_SBR1,NEUTRAL,ISO_z2,0.99979,8.93064e-07,4.22142e+06,12,-7.1e-15,0.0e+00
R500,INVALID,600,LI_SBR1,NEUTRAL,ISO_z4,0.99979,3.92254e-14,9.61112e+13,12,-7.1e-15,0.0e+00
R500,INVALID,600,LI_SBR1,NEUTRAL,ISO_z8,0.99979,7.56723e-29,4.98201e+28,12,-7.1e-15,0.0e+00
R600,VALID,600,LI_SBR1,NEUTRAL,BRI,0.999987,20.3368,0.192754,11,4.3e-14,0.0e+00
R600,INVALID,600,LI_SBR1,NEUTRAL,ISO_z2,0.999987,3.27416e-09,1.19725e+09,11,4.3e-14,0.0e+00
R600,INVALID,600,LI_SBR1,NEUTRAL,ISO_z4,0.999987,5.27128e-19,7.43652e+18,11,4.3e-14,0.0e+00
R600,INVALID,600,LI_SBR1,NEUTRAL,ISO_z8,0.999987,1.36631e-38,2.86904e+38,11,4.3e-14,0.0e+00
R800,VALID,600,LI_SBR1,NEUTRAL,BRI,0.999996,20.337,0.0988346,10,5.7e-14,0.0e+00
R800,INVALID,600,LI_SBR1,NEUTRAL,ISO_z2,0.999996,4.06224e-10,4.94801e+09,10,5.7e-14,0.0e+00
R800,INVALID,600,LI_SBR1,NEUTRAL,ISO_z4,0.999996,8.11418e-21,2.47715e+20,10,5.7e-14,0.0e+00
R800,INVALID,600,LI_SBR1,NEUTRAL,ISO_z8,0.999996,3.23744e-42,6.2086e+41,10,5.7e-14,0.0e+00
R1000,VALID,600,LI_SBR1,NEUTRAL,BRI,0.999999,20.3371,0.00223238,8,2.3e-13,0.0e+00
R1000,INVALID,600,LI_SBR1,NEUTRAL,ISO_z2,0.999999,1.64593e-11,2.75833e+09,8,2.3e-13,0.0e+00
R1000,INVALID,600,LI_SBR1,NEUTRAL,ISO_z4,0.999999,1.33208e-23,3.40819e+21,8,2.3e-13,0.0e+00
R1000,INVALID,600,LI_SBR1,NEUTRAL,ISO_z8,0.999999,8.72519e-48,5.20333e+45,8,2.3e-13,0.0e+00
A600,VALID,600,LI_L2,NEUTRAL,BRI,0.65827,13.3873,0.168817,13,-3.7e-12,0.0e+00
A600,VALID,600,LI_L2,NEUTRAL,ISO_z2,0.65827,1.56336,1.44561,13,-3.7e-12,0.0e+00
A600,INVALID,600,LI_L2,NEUTRAL,ISO_z4,0.65827,0.182567,12.379,13,-3.7e-12,0.0e+00
A600,INVALID,600,LI_L2,NEUTRAL,ISO_z8,0.65827,0.00248974,907.726,13,-3.7e-12,0.0e+00
R500,VALID,600,LI_L2,NEUTRAL,BRI,0.998417,20.3049,0.18567,12,-7.1e-15,0.0e+00
R500,INVALID,600,LI_L2,NEUTRAL,ISO_z2,0.998417,5.08933e-05,74076.5,12,-7.1e-15,0.0e+00
R500,INVALID,600,LI_L2,NEUTRAL,ISO_z4,0.998417,1.27562e-10,2.95543e+10,12,-7.1e-15,0.0e+00
R500,INVALID,600,LI_L2,NEUTRAL,ISO_z8,0.998417,8.01386e-22,4.70435e+21,12,-7.1e-15,0.0e+00
R600,VALID,600,LI_L2,NEUTRAL,BRI,0.99991,20.3353,0.192769,11,0.0e+00,0.0e+00
R600,INVALID,600,LI_L2,NEUTRAL,ISO_z2,0.99991,1.63679e-07,2.39494e+07,11,0.0e+00,0.0e+00
R600,INVALID,600,LI_L2,NEUTRAL,ISO_z4,0.99991,1.31745e-15,2.97545e+15,11,0.0e+00,0.0e+00
R600,INVALID,600,LI_L2,NEUTRAL,ISO_z8,0.99991,8.53527e-32,4.59271e+31,11,0.0e+00,0.0e+00
R800,VALID,600,LI_L2,NEUTRAL,BRI,0.999993,20.3369,0.0988349,10,-2.8e-14,0.0e+00
R800,INVALID,600,LI_L2,NEUTRAL,ISO_z2,0.999993,1.09151e-09,1.84148e+09,10,-2.8e-14,0.0e+00
R800,INVALID,600,LI_L2,NEUTRAL,ISO_z4,0.999993,5.85831e-20,3.43102e+19,10,-2.8e-14,0.0e+00
R800,INVALID,600,LI_L2,NEUTRAL,ISO_z8,0.999993,1.68756e-40,1.19107e+40,10,-2.8e-14,0.0e+00
R1000,VALID,600,LI_L2,NEUTRAL,BRI,0.999999,20.3371,0.00223238,8,-1.1e-13,0.0e+00
R1000,INVALID,600,LI_L2,NEUTRAL,ISO_z2,0.999999,1.95259e-11,2.32511e+09,8,-1.1e-13,0.0e+00
R1000,INVALID,600,LI_L2,NEUTRAL,ISO_z4,0.999999,1.87471e-23,2.4217e+21,8,-1.1e-13,0.0e+00
R1000,INVALID,600,LI_L2,NEUTRAL,ISO_z8,0.999999,1.72815e-47,2.62709e+45,8,-1.1e-13,0.0e+00
A600,VALID,600,LI_CONT_xi0.25,NEUTRAL,BRI,0.961313,19.5503,0.115599,12,8.9e-15,0.0e+00
A600,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.961313,0.0292604,77.2375,12,8.9e-15,0.0e+00
A600,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.961313,4.37932e-05,51606.2,12,8.9e-15,0.0e+00
A600,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.961313,9.80979e-11,2.30382e+10,12,8.9e-15,0.0e+00
R500,VALID,600,LI_CONT_xi0.25,NEUTRAL,BRI,0.999388,20.3246,0.185489,12,-7.1e-15,0.0e+00
R500,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.999388,7.62192e-06,494626,12,-7.1e-15,0.0e+00
R500,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.999388,2.85829e-12,1.31897e+12,12,-7.1e-15,0.0e+00
R500,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.999388,4.01965e-25,9.37892e+24,12,-7.1e-15,0.0e+00
R600,VALID,600,LI_CONT_xi0.25,NEUTRAL,BRI,0.999978,20.3366,0.192755,11,0.0e+00,0.0e+00
R600,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.999978,9.66581e-09,4.05553e+08,11,0.0e+00,0.0e+00
R600,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.999978,4.59406e-18,8.53275e+17,11,0.0e+00,0.0e+00
R600,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.999978,1.0378e-36,3.77722e+36,11,0.0e+00,0.0e+00
R800,VALID,600,LI_CONT_xi0.25,NEUTRAL,BRI,0.999994,20.337,0.0988348,10,-8.5e-14,0.0e+00
R800,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.999994,7.08544e-10,2.8368e+09,10,-8.5e-14,0.0e+00
R800,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.999994,2.46858e-20,8.14233e+19,10,-8.5e-14,0.0e+00
R800,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.999994,2.99646e-41,6.70792e+40,10,-8.5e-14,0.0e+00
R1000,VALID,600,LI_CONT_xi0.25,NEUTRAL,BRI,0.999999,20.3371,0.00223238,8,0.0e+00,0.0e+00
R1000,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.999999,1.97614e-11,2.29741e+09,8,0.0e+00,0.0e+00
R1000,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.999999,1.92021e-23,2.36433e+21,8,0.0e+00,0.0e+00
R1000,INVALID,600,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.999999,1.81304e-47,2.50408e+45,8,0.0e+00,0.0e+00
A600,VALID,600,LI_CONT_xi0.5,NEUTRAL,BRI,0.816751,16.6103,0.13606,12,7.1e-15,0.0e+00
A600,VALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.816751,0.557778,4.05179,12,7.1e-15,0.0e+00
A600,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.816751,0.0187303,120.66,12,7.1e-15,0.0e+00
A600,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.816751,2.11207e-05,107004,12,7.1e-15,0.0e+00
R500,VALID,600,LI_CONT_xi0.5,NEUTRAL,BRI,0.986557,20.0637,0.187902,11,2.1e-12,0.0e+00
R500,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.986557,0.00362588,1039.75,11,2.1e-12,0.0e+00
R500,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.986557,6.55265e-07,5.7534e+06,11,2.1e-12,0.0e+00
R500,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.986557,2.14004e-14,1.76165e+14,11,2.1e-12,0.0e+00
R600,VALID,600,LI_CONT_xi0.5,NEUTRAL,BRI,0.999836,20.3338,0.192783,11,2.3e-13,0.0e+00
R600,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.999836,5.47818e-07,7.15566e+06,11,2.3e-13,0.0e+00
R600,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.999836,1.47589e-14,2.65602e+14,11,2.3e-13,0.0e+00
R600,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.999836,1.07125e-29,3.65926e+29,11,2.3e-13,0.0e+00
R800,VALID,600,LI_CONT_xi0.5,NEUTRAL,BRI,0.999988,20.3368,0.0988354,10,1.4e-13,0.0e+00
R800,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.999988,3.04469e-09,6.60166e+08,10,1.4e-13,0.0e+00
R800,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.999988,4.55829e-19,4.40955e+18,10,1.4e-13,0.0e+00
R800,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.999988,1.02169e-38,1.96732e+38,10,1.4e-13,0.0e+00
R1000,VALID,600,LI_CONT_xi0.5,NEUTRAL,BRI,0.999999,20.3371,0.00223238,8,8.0e-13,0.0e+00
R1000,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.999999,2.71412e-11,1.67273e+09,8,8.0e-13,0.0e+00
R1000,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.999999,3.62219e-23,1.25339e+21,8,8.0e-13,0.0e+00
R1000,INVALID,600,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.999999,6.45139e-47,7.03724e+44,8,8.0e-13,0.0e+00
A600,VALID,600,LI_CONT_xi1,NEUTRAL,BRI,0.578649,11.768,0.192045,12,8.9e-15,0.0e+00
A600,VALID,600,LI_CONT_xi1,NEUTRAL,ISO_z2,0.578649,2.08926,1.08173,12,8.9e-15,0.0e+00
A600,VALID,600,LI_CONT_xi1,NEUTRAL,ISO_z4,0.578649,0.370919,6.09298,12,8.9e-15,0.0e+00
A600,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z8,0.578649,0.011691,193.311,12,8.9e-15,0.0e+00
R500,VALID,600,LI_CONT_xi1,NEUTRAL,BRI,0.898914,18.2813,0.206222,11,7.1e-15,0.0e+00
R500,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z2,0.898914,0.186806,20.1814,11,7.1e-15,0.0e+00
R500,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z4,0.898914,0.00190885,1975.01,11,7.1e-15,0.0e+00
R500,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z8,0.898914,1.99314e-07,1.89149e+07,11,7.1e-15,0.0e+00
R600,VALID,600,LI_CONT_xi1,NEUTRAL,BRI,0.995048,20.2364,0.19371,11,-2.8e-14,0.0e+00
R600,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z2,0.995048,0.000496174,7900.46,11,-2.8e-14,0.0e+00
R600,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z4,0.995048,1.21656e-08,3.22219e+08,11,-2.8e-14,0.0e+00
R600,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z8,0.995048,7.31368e-18,5.35982e+17,11,-2.8e-14,0.0e+00
R800,VALID,600,LI_CONT_xi1,NEUTRAL,BRI,0.999875,20.3345,0.0988466,10,1.6e-10,0.0e+00
R800,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z2,0.999875,3.19961e-07,6.28201e+06,10,1.6e-10,0.0e+00
R800,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z4,0.999875,5.03455e-15,3.99241e+14,10,1.6e-10,0.0e+00
R800,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z8,0.999875,1.24648e-30,1.61253e+30,10,1.6e-10,0.0e+00
R1000,VALID,600,LI_CONT_xi1,NEUTRAL,BRI,0.999998,20.3371,0.00223238,8,1.9e-10,0.0e+00
R1000,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z2,0.999998,5.67405e-11,8.00134e+08,8,1.9e-10,0.0e+00
R1000,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z4,0.999998,1.58306e-22,2.86786e+20,8,1.9e-10,0.0e+00
R1000,INVALID,600,LI_CONT_xi1,NEUTRAL,ISO_z8,0.999998,1.23228e-45,3.68424e+43,8,1.9e-10,0.0e+00
