sample,family,variant,n,below_threshold,median_log10_change,min_log10_change,max_log10_change
R1100,aggregates,MC cutoff 0.4 nm,40,0,+0.000,-0.053,+0.185
R1100,aggregates,MC cutoff 0.45 nm,16,24,+0.252,-0.033,+0.728
R1100,aggregates,MC cutoff 0.6 nm,0,40,,,
R1100,aggregates,MC cutoff 1 nm,0,40,,,
R1100,basal,alpha 1,8,0,-0.002,-0.209,+0.000
R1100,combined,"MC cutoff 0.34 nm, dG +0 eV, 900-1600 nm",17,15,+0.084,-0.639,+0.591
R1100,combined,"MC cutoff 0.34 nm, dG +0.2 eV, 900-1600 nm",17,15,+0.042,-0.641,+0.494
R1100,combined,"MC cutoff 0.34 nm, dG -0.2 eV, 900-1600 nm",14,18,+0.108,-0.620,+0.842
R1100,combined,"MC cutoff 0.4 nm, dG +0 eV, 900-1600 nm",18,14,+0.145,-0.633,+0.748
R1100,combined,"MC cutoff 0.4 nm, dG +0.2 eV, 900-1600 nm",18,14,+0.143,-0.637,+0.682
R1100,combined,"MC cutoff 0.4 nm, dG -0.2 eV, 900-1600 nm",17,15,+0.173,-0.578,+0.921
R1100,decay_length,xi 0.25 nm,8,0,+0.000,+0.000,+0.000
R1100,decay_length,xi 1 nm,8,0,+0.000,+0.000,+0.000
R1100,diameter,1250 nm,40,0,+0.143,+0.143,+0.143
R1100,diameter,1600 nm,40,0,+0.250,+0.250,+0.250
R1100,facet,f110 0.5,40,0,+0.301,+0.301,+0.301
R1100,facet,f110 0.75,40,0,+0.125,+0.125,+0.125
R1100,global,eps 107 (c_axis),20,0,+0.000,+0.000,+0.000
R1100,global,eps 64 (a_axis),20,0,+0.000,+0.000,+0.000
R1100,matsunaga,basal +0.11 eV,20,0,+0.000,-1.106,+0.000
R1100,pairs_eq,ZHA2017 at 600 C,40,0,+0.000,+0.000,+0.000
R1100,pairs_frozen,ZHA2017 frozen at 1100 C,40,0,+0.000,+0.000,+0.000
R1100,recon_fixed,f_rec 0.25,14,26,-0.636,-0.645,+0.390
R1100,recon_fixed,f_rec 0.5,14,26,-0.464,-0.469,+0.658
R1100,recon_fixed,f_rec 0.75,12,28,-0.167,-0.167,+0.610
R1100,recon_state,dG +0 eV,9,23,-0.757,-0.770,+0.308
R1100,recon_state,dG +0.2 eV,9,23,-0.761,-0.770,+0.211
R1100,recon_state,dG +0.4 eV,9,23,-0.761,-0.770,+0.203
R1100,recon_state,dG -0.2 eV,9,23,-0.740,-0.770,+0.920
R1100,recon_state,dG -0.4 eV,8,24,-0.719,-0.770,+0.681
R1100,size_mix,"equal mass, 900-1600 nm",40,0,+0.127,+0.127,+0.127
R500,aggregates,MC cutoff 0.28 nm,40,0,+0.000,-0.051,+0.314
R500,aggregates,MC cutoff 0.34 nm,40,0,+0.000,-0.053,+0.735
R500,aggregates,MC cutoff 0.4 nm,36,4,+0.022,-0.032,+0.813
R500,aggregates,MC cutoff 0.45 nm,0,40,,,
R500,aggregates,MC cutoff 0.6 nm,0,40,,,
R500,aggregates,MC cutoff 1 nm,0,40,,,
R500,basal,alpha 1,8,0,-0.000,-0.002,+0.000
R500,combined,"MC cutoff 0.34 nm, dG +0 eV, 900-1600 nm",23,9,+0.147,-0.638,+0.863
R500,combined,"MC cutoff 0.34 nm, dG +0.2 eV, 900-1600 nm",23,9,+0.145,-0.640,+0.863
R500,combined,"MC cutoff 0.34 nm, dG -0.2 eV, 900-1600 nm",22,10,+0.172,-0.611,+0.863
R500,combined,"MC cutoff 0.4 nm, dG +0 eV, 900-1600 nm",20,12,+0.378,-0.602,+0.952
R500,combined,"MC cutoff 0.4 nm, dG +0.2 eV, 900-1600 nm",20,12,+0.373,-0.620,+0.942
R500,combined,"MC cutoff 0.4 nm, dG -0.2 eV, 900-1600 nm",19,13,+0.362,-0.405,+1.076
R500,decay_length,xi 0.25 nm,8,0,+0.000,+0.000,+0.000
R500,decay_length,xi 1 nm,8,0,+0.000,-0.006,+0.009
R500,diameter,1250 nm,40,0,+0.143,+0.138,+0.143
R500,diameter,1600 nm,40,0,+0.250,+0.242,+0.250
R500,facet,f110 0.5,40,0,+0.301,+0.292,+0.301
R500,facet,f110 0.75,40,0,+0.125,+0.121,+0.125
R500,global,eps 107 (c_axis),20,0,+0.000,+0.000,+0.052
R500,global,eps 64 (a_axis),20,0,+0.000,+0.000,+0.185
R500,matsunaga,basal +0.11 eV,20,0,+0.000,-1.050,+0.000
R500,pairs_eq,ZHA2017 at 600 C,40,0,+0.000,-0.036,+0.195
R500,pairs_frozen,ZHA2017 frozen at 500 C,40,0,+0.000,-0.039,+0.232
R500,recon_fixed,f_rec 0.25,22,18,+0.115,-0.645,+0.677
R500,recon_fixed,f_rec 0.5,20,20,+0.270,-0.469,+0.712
R500,recon_fixed,f_rec 0.75,16,24,+0.260,-0.167,+0.755
R500,recon_state,dG +0 eV,17,15,-0.003,-0.770,+0.466
R500,recon_state,dG +0.2 eV,17,15,-0.033,-0.770,+0.419
R500,recon_state,dG +0.4 eV,17,15,-0.035,-0.770,+0.416
R500,recon_state,dG -0.2 eV,16,16,+0.007,-0.769,+0.876
R500,recon_state,dG -0.4 eV,12,20,+0.063,-0.764,+0.807
R500,size_mix,"equal mass, 900-1600 nm",40,0,+0.127,+0.123,+0.127
R500,transport,"JUG UBERUAGA_2011 from 500 C, t 1 s",8,0,+0.000,+0.000,+0.000
R500,transport,"WU UBERUAGA_2011 from 500 C, t 1 s",8,0,+0.000,+0.000,+0.000
R600,aggregates,MC cutoff 0.28 nm,40,0,+0.000,-0.049,+0.245
R600,aggregates,MC cutoff 0.34 nm,40,0,+0.000,-0.051,+0.682
R600,aggregates,MC cutoff 0.4 nm,40,0,+0.015,-0.051,+1.000
R600,aggregates,MC cutoff 0.45 nm,8,32,+0.905,+0.528,+1.131
R600,aggregates,MC cutoff 0.6 nm,0,40,,,
R600,aggregates,MC cutoff 1 nm,0,40,,,
R600,basal,alpha 1,8,0,-0.000,-0.014,+0.000
R600,combined,"MC cutoff 0.34 nm, dG +0 eV, 900-1600 nm",23,9,+0.136,-0.638,+0.810
R600,combined,"MC cutoff 0.34 nm, dG +0.2 eV, 900-1600 nm",23,9,+0.122,-0.640,+0.810
R600,combined,"MC cutoff 0.34 nm, dG -0.2 eV, 900-1600 nm",22,10,+0.222,-0.613,+0.810
R600,combined,"MC cutoff 0.4 nm, dG +0 eV, 900-1600 nm",24,8,+0.204,-0.606,+1.128
R600,combined,"MC cutoff 0.4 nm, dG +0.2 eV, 900-1600 nm",24,8,+0.203,-0.622,+1.128
R600,combined,"MC cutoff 0.4 nm, dG -0.2 eV, 900-1600 nm",23,9,+0.201,-0.425,+1.128
R600,decay_length,xi 0.25 nm,8,0,+0.000,+0.000,+0.000
R600,decay_length,xi 1 nm,8,0,+0.000,+0.000,+0.000
R600,diameter,1250 nm,40,0,+0.143,+0.143,+0.143
R600,diameter,1600 nm,40,0,+0.250,+0.250,+0.250
R600,facet,f110 0.5,40,0,+0.301,+0.301,+0.301
R600,facet,f110 0.75,40,0,+0.125,+0.125,+0.125
R600,global,eps 107 (c_axis),20,0,+0.000,-0.048,+0.122
R600,global,eps 64 (a_axis),20,0,+0.000,-0.047,+0.260
R600,inventory,R600 94.6,40,0,+0.000,+0.000,+0.000
R600,matsunaga,basal +0.11 eV,20,0,+0.000,-1.106,+0.000
R600,pairs_eq,ZHA2017 at 600 C,40,0,+0.000,-0.044,+0.105
R600,recon_fixed,f_rec 0.25,19,21,+0.005,-0.645,+0.732
R600,recon_fixed,f_rec 0.5,17,23,+0.123,-0.469,+0.844
R600,recon_fixed,f_rec 0.75,14,26,-0.141,-0.167,+0.648
R600,recon_state,dG +0 eV,14,18,-0.331,-0.770,+0.471
R600,recon_state,dG +0.2 eV,15,17,-0.115,-0.770,+0.888
R600,recon_state,dG +0.4 eV,15,17,-0.115,-0.770,+0.880
R600,recon_state,dG -0.2 eV,12,20,-0.438,-0.769,+0.731
R600,recon_state,dG -0.4 eV,10,22,-0.283,-0.769,+0.521
R600,size_mix,"equal mass, 900-1600 nm",40,0,+0.127,+0.127,+0.127
R800,aggregates,MC cutoff 0.28 nm,40,0,+0.000,-0.013,+0.022
R800,aggregates,MC cutoff 0.34 nm,40,0,+0.000,-0.042,+0.475
R800,aggregates,MC cutoff 0.4 nm,40,0,+0.000,-0.039,+0.778
R800,aggregates,MC cutoff 0.45 nm,12,28,+0.776,+0.344,+1.110
R800,aggregates,MC cutoff 0.6 nm,0,40,,,
R800,aggregates,MC cutoff 1 nm,0,40,,,
R800,basal,alpha 1,8,0,-0.000,-0.033,+0.000
R800,combined,"MC cutoff 0.34 nm, dG +0 eV, 900-1600 nm",21,11,+0.132,-0.638,+0.603
R800,combined,"MC cutoff 0.34 nm, dG +0.2 eV, 900-1600 nm",21,11,+0.067,-0.640,+0.602
R800,combined,"MC cutoff 0.34 nm, dG -0.2 eV, 900-1600 nm",20,12,+0.235,-0.614,+0.674
R800,combined,"MC cutoff 0.4 nm, dG +0 eV, 900-1600 nm",23,9,+0.148,-0.609,+0.906
R800,combined,"MC cutoff 0.4 nm, dG +0.2 eV, 900-1600 nm",24,8,+0.153,-0.624,+1.028
R800,combined,"MC cutoff 0.4 nm, dG -0.2 eV, 900-1600 nm",23,9,+0.181,-0.442,+1.013
R800,decay_length,xi 0.25 nm,8,0,+0.000,+0.000,+0.000
R800,decay_length,xi 1 nm,8,0,+0.000,+0.000,+0.000
R800,diameter,1250 nm,40,0,+0.143,+0.143,+0.143
R800,diameter,1600 nm,40,0,+0.250,+0.250,+0.250
R800,facet,f110 0.5,40,0,+0.301,+0.301,+0.301
R800,facet,f110 0.75,40,0,+0.125,+0.125,+0.125
R800,global,eps 107 (c_axis),20,0,+0.000,-0.008,+0.013
R800,global,eps 64 (a_axis),20,0,+0.000,-0.051,+0.146
R800,matsunaga,basal +0.11 eV,20,0,+0.000,-1.106,+0.000
R800,pairs_eq,ZHA2017 at 600 C,40,0,+0.000,+0.000,+0.000
R800,pairs_frozen,ZHA2017 frozen at 800 C,40,0,+0.000,+0.000,+0.000
R800,recon_fixed,f_rec 0.25,16,24,-0.400,-0.645,+0.928
R800,recon_fixed,f_rec 0.5,15,25,-0.433,-0.469,+0.516
R800,recon_fixed,f_rec 0.75,13,27,-0.165,-0.167,+0.606
R800,recon_state,dG +0 eV,13,19,-0.636,-0.770,+0.997
R800,recon_state,dG +0.2 eV,14,18,-0.492,-0.770,+0.850
R800,recon_state,dG +0.4 eV,14,18,-0.494,-0.770,+0.838
R800,recon_state,dG -0.2 eV,10,22,-0.588,-0.770,+0.382
R800,recon_state,dG -0.4 eV,9,23,-0.441,-0.769,+0.855
R800,size_mix,"equal mass, 900-1600 nm",40,0,+0.127,+0.127,+0.127
