sample,energy_map,cutoff_nm,dG_eV,f110,eps,reactive,theta_bri,reconstructed_fraction,N_bridging_umol_g,N_reconstructed_row_umol_g,N_basal_L1_umol_g,N_L1_subbridging_umol_g,N_subsurface_L2_4_umol_g,N_bulk_umol_g,N_react_umol_g,TOF_s_1,site_class,flags,Q_vs_R600,Q_ref_below_threshold
R1100,PAB,0.28,-0.4,1,64 (a_axis),BRI,0.0379814,0.787906,0.0823299,4.02613,1.14508e-05,2.14903,1.12036,1335.62,0.0823299,0.295518,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0397667,
R1100,PAB,0.28,-0.4,1,64 (a_axis),ISO_z2,0.0379814,0.787906,0.0823299,4.02613,1.14508e-05,2.14903,1.12036,1335.62,0.0761948,0.319313,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0381748,
R1100,PAB,0.28,-0.4,1,64 (a_axis),ISO_z4,0.0379814,0.787906,0.0823299,4.02613,1.14508e-05,2.14903,1.12036,1335.62,0.0705168,0.345024,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0366466,
R1100,PAB,0.28,-0.4,1,64 (a_axis),ISO_z8,0.0379814,0.787906,0.0823299,4.02613,1.14508e-05,2.14903,1.12036,1335.62,0.0603986,0.402824,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0337713,
R1100,PAB,0.28,-0.4,1,64 (a_axis),BRI+BASAL,0.0379814,0.787906,0.0823299,4.02613,1.14508e-05,2.14903,1.12036,1335.62,0.0823414,0.295477,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0397613,
A600,PAB,0.28,-0.4,1,107 (c_axis),BRI,0.0449933,0.00280927,0.458299,0.0143196,3.32929e-07,0.125916,0.00624967,12.8452,0.458299,4.93128,OK,,0.931629,
A600,PAB,0.28,-0.4,1,107 (c_axis),ISO_z2,0.0449933,0.00280927,0.458299,0.0143196,3.32929e-07,0.125916,0.00624967,12.8452,0.418006,5.40662,OK,,0.860413,
A600,PAB,0.28,-0.4,1,107 (c_axis),ISO_z4,0.0449933,0.00280927,0.458299,0.0143196,3.32929e-07,0.125916,0.00624967,12.8452,0.381256,5.92777,OK,,0.79464,
A600,PAB,0.28,-0.4,1,107 (c_axis),ISO_z8,0.0449933,0.00280927,0.458299,0.0143196,3.32929e-07,0.125916,0.00624967,12.8452,0.317165,7.12563,OK,,0.677792,
A600,PAB,0.28,-0.4,1,107 (c_axis),BRI+BASAL,0.0449933,0.00280927,0.458299,0.0143196,3.32929e-07,0.125916,0.00624967,12.8452,0.458299,4.93127,OK,,0.931629,
