sample,energy_map,closure,surface_edges,bulk_barrier,coverage_at_treatment_T,coverage_eq_600C,t_within_1pct_s,mass_drift,coverage_at_1s,coverage_at_10s,coverage_at_60s,coverage_at_600s
R1000,HAM,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.999943,0.999997,0,1.5e-16,0.999997,0.999997,0.999997,0.999997
R500,HAM,LOCAL,WU,IDDIR_2007 1.1 eV,0.549971,0.399737,0.00990934,3.7e-15,0.399737,0.399737,0.399737,0.399737
R800,HAM,LOCAL,WU,IDDIR_2007 1.1 eV,0.601482,0.785398,0.00112572,2.9e-14,0.785398,0.785398,0.785398,0.785398
R1000,HAM,LOCAL,WU,IDDIR_2007 1.1 eV,0.797884,0.907953,9.74408e-05,8.9e-14,0.907953,0.907953,0.907953,0.907953
R500,HAM,LOCAL,WU,UBERUAGA_2011 1.5 eV,0.549971,0.399737,1.98857,1.4e-13,0.415668,0.399737,0.399737,0.399737
R800,HAM,LOCAL,WU,UBERUAGA_2011 1.5 eV,0.601481,0.785398,0.225906,2.1e-12,0.784778,0.785398,0.785398,0.785398
R1000,HAM,LOCAL,WU,UBERUAGA_2011 1.5 eV,0.797868,0.907953,0.0209293,1.5e-11,0.907924,0.907953,0.907953,0.907953
R500,HAM,LOCAL,JUG,IDDIR_2007 1.1 eV,0.548111,0.399737,0.00990934,3.9e-16,0.399737,0.399737,0.399737,0.399737
R800,HAM,LOCAL,JUG,IDDIR_2007 1.1 eV,0.607716,0.785398,0.00112572,0.0e+00,0.785398,0.785398,0.785398,0.785398
R1000,HAM,LOCAL,JUG,IDDIR_2007 1.1 eV,0.807188,0.907953,9.74408e-05,1.2e-15,0.907953,0.907953,0.907953,0.907953
R500,HAM,LOCAL,JUG,UBERUAGA_2011 1.5 eV,0.548111,0.399737,1.98857,1.3e-14,0.415668,0.399737,0.399737,0.399737
R800,HAM,LOCAL,JUG,UBERUAGA_2011 1.5 eV,0.607715,0.785398,0.225906,1.9e-13,0.784778,0.785398,0.785398,0.785398
R1000,HAM,LOCAL,JUG,UBERUAGA_2011 1.5 eV,0.807182,0.907953,0.0209293,1.0e-11,0.907924,0.907953,0.907953,0.907953
R500,LI_SBR1,NEUTRAL,WU,IDDIR_2007 1.1 eV,0.999981,0.99994,0,5.9e-14,0.99994,0.99994,0.99994,0.99994
R800,LI_SBR1,NEUTRAL,WU,IDDIR_2007 1.1 eV,0.999976,0.999996,0,1.9e-15,0.999996,0.999996,0.999996,0.999996
R1000,LI_SBR1,NEUTRAL,WU,IDDIR_2007 1.1 eV,0.999983,0.999999,0,2.9e-16,0.999999,0.999999,0.999999,0.999999
R500,LI_SBR1,NEUTRAL,WU,UBERUAGA_2011 1.5 eV,0.999981,0.99994,0,7.9e-14,0.999945,0.999941,0.99994,0.99994
R800,LI_SBR1,NEUTRAL,WU,UBERUAGA_2011 1.5 eV,0.999976,0.999996,0,1.9e-15,0.999996,0.999996,0.999996,0.999996
R1000,LI_SBR1,NEUTRAL,WU,UBERUAGA_2011 1.5 eV,0.999983,0.999999,0,2.0e-15,0.999999,0.999999,0.999999,0.999999
R500,LI_SBR1,NEUTRAL,JUG,IDDIR_2007 1.1 eV,0.999981,0.99994,0,1.3e-14,0.99994,0.99994,0.99994,0.99994
R800,LI_SBR1,NEUTRAL,JUG,IDDIR_2007 1.1 eV,0.999977,0.999996,0,7.4e-16,0.999996,0.999996,0.999996,0.999996
R1000,LI_SBR1,NEUTRAL,JUG,IDDIR_2007 1.1 eV,0.999986,0.999999,0,0.0e+00,0.999999,0.999999,0.999999,0.999999
R500,LI_SBR1,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.999981,0.99994,0,1.3e-14,0.999945,0.999941,0.99994,0.99994
R800,LI_SBR1,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.999977,0.999996,0,4.5e-14,0.999996,0.999996,0.999996,0.999996
R1000,LI_SBR1,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.999986,0.999999,0,9.3e-15,0.999999,0.999999,0.999999,0.999999
R500,LI_SBR1,LOCAL,WU,IDDIR_2007 1.1 eV,0.662942,0.50151,0.00438344,1.9e-16,0.50151,0.50151,0.50151,0.50151
R800,LI_SBR1,LOCAL,WU,IDDIR_2007 1.1 eV,0.683188,0.859172,0.00011163,0.0e+00,0.859172,0.859172,0.859172,0.859172
R1000,LI_SBR1,LOCAL,WU,IDDIR_2007 1.1 eV,0.840003,0.959152,2.48145e-06,4.4e-15,0.959152,0.959152,0.959152,0.959152
R500,LI_SBR1,LOCAL,WU,UBERUAGA_2011 1.5 eV,0.662944,0.50151,0.879651,3.7e-15,0.505723,0.50151,0.50151,0.50151
R800,LI_SBR1,LOCAL,WU,UBERUAGA_2011 1.5 eV,0.683172,0.859172,0.0224014,2.3e-11,0.85883,0.859172,0.859172,0.859172
R1000,LI_SBR1,LOCAL,WU,UBERUAGA_2011 1.5 eV,0.839904,0.959152,0.000497967,8.1e-14,0.959137,0.959152,0.959152,0.959152
R500,LI_SBR1,LOCAL,JUG,IDDIR_2007 1.1 eV,0.662508,0.50151,0.00438344,9.6e-16,0.50151,0.50151,0.50151,0.50151
R800,LI_SBR1,LOCAL,JUG,IDDIR_2007 1.1 eV,0.685465,0.859172,0.00011163,8.1e-15,0.859172,0.859172,0.859172,0.859172
R1000,LI_SBR1,LOCAL,JUG,IDDIR_2007 1.1 eV,0.841125,0.959152,2.48145e-06,4.4e-15,0.959152,0.959152,0.959152,0.959152
R500,LI_SBR1,LOCAL,JUG,UBERUAGA_2011 1.5 eV,0.662508,0.50151,0.879651,1.6e-13,0.505723,0.50151,0.50151,0.50151
R800,LI_SBR1,LOCAL,JUG,UBERUAGA_2011 1.5 eV,0.685457,0.859172,0.0224014,5.5e-14,0.85883,0.859172,0.859172,0.859172
R1000,LI_SBR1,LOCAL,JUG,UBERUAGA_2011 1.5 eV,0.841091,0.959152,0.000497967,1.6e-14,0.959137,0.959152,0.959152,0.959152
R500,LI_L2,NEUTRAL,WU,IDDIR_2007 1.1 eV,0.999792,0.99943,0,1.6e-13,0.99943,0.99943,0.99943,0.99943
R800,LI_L2,NEUTRAL,WU,IDDIR_2007 1.1 eV,0.99999,0.999995,0,6.9e-15,0.999995,0.999995,0.999995,0.999995
R1000,LI_L2,NEUTRAL,WU,IDDIR_2007 1.1 eV,0.999999,0.999999,0,2.9e-16,0.999999,0.999999,0.999999,0.999999
R500,LI_L2,NEUTRAL,WU,UBERUAGA_2011 1.5 eV,0.999792,0.99943,0,3.5e-15,0.999451,0.999433,0.99943,0.99943
R800,LI_L2,NEUTRAL,WU,UBERUAGA_2011 1.5 eV,0.99999,0.999995,0,5.7e-14,0.999994,0.999995,0.999995,0.999995
R1000,LI_L2,NEUTRAL,WU,UBERUAGA_2011 1.5 eV,0.999999,0.999999,0,1.5e-15,0.999999,0.999999,0.999999,0.999999
R500,LI_L2,NEUTRAL,JUG,IDDIR_2007 1.1 eV,0.999806,0.99943,0,3.9e-16,0.99943,0.99943,0.99943,0.99943
R800,LI_L2,NEUTRAL,JUG,IDDIR_2007 1.1 eV,0.999869,0.999995,0,1.5e-16,0.999995,0.999995,0.999995,0.999995
R1000,LI_L2,NEUTRAL,JUG,IDDIR_2007 1.1 eV,0.999816,0.999999,0,1.7e-15,0.999999,0.999999,0.999999,0.999999
R500,LI_L2,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.999806,0.99943,0,7.9e-15,0.999451,0.999433,0.99943,0.99943
R800,LI_L2,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.999869,0.999995,0,1.0e-12,0.999994,0.999995,0.999995,0.999995
R1000,LI_L2,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.999816,0.999999,0,8.3e-13,0.999999,0.999999,0.999999,0.999999
R500,LI_L2,LOCAL,WU,IDDIR_2007 1.1 eV,0.650378,0.491552,0.00575296,5.8e-16,0.491552,0.491552,0.491552,0.491552
R800,LI_L2,LOCAL,WU,IDDIR_2007 1.1 eV,0.675897,0.856862,0.00040611,1.5e-16,0.856862,0.856862,0.856862,0.856862
R1000,LI_L2,LOCAL,WU,IDDIR_2007 1.1 eV,0.819281,0.965049,2.5024e-05,4.4e-14,0.965049,0.965049,0.965049,0.965049
R500,LI_L2,LOCAL,WU,UBERUAGA_2011 1.5 eV,0.650378,0.491552,1.15448,1.2e-15,0.497052,0.491552,0.491552,0.491552
R800,LI_L2,LOCAL,WU,UBERUAGA_2011 1.5 eV,0.675897,0.856862,0.0711379,2.9e-16,0.856168,0.856862,0.856862,0.856862
R1000,LI_L2,LOCAL,WU,UBERUAGA_2011 1.5 eV,0.819281,0.965049,0.00357484,6.7e-14,0.965,0.965049,0.965049,0.965049
R500,LI_L2,LOCAL,JUG,IDDIR_2007 1.1 eV,0.650379,0.491552,0.00705422,2.6e-14,0.491552,0.491552,0.491552,0.491552
R800,LI_L2,LOCAL,JUG,IDDIR_2007 1.1 eV,0.675891,0.856862,0.000857737,1.1e-13,0.856862,0.856862,0.856862,0.856862
R1000,LI_L2,LOCAL,JUG,IDDIR_2007 1.1 eV,0.819197,0.965049,9.10378e-05,3.8e-15,0.965049,0.965049,0.965049,0.965049
R500,LI_L2,LOCAL,JUG,UBERUAGA_2011 1.5 eV,0.650379,0.491552,1.15448,4.4e-15,0.49706,0.491552,0.491552,0.491552
R800,LI_L2,LOCAL,JUG,UBERUAGA_2011 1.5 eV,0.675891,0.856862,0.0711379,7.7e-13,0.856168,0.856862,0.856862,0.856862
R1000,LI_L2,LOCAL,JUG,UBERUAGA_2011 1.5 eV,0.819197,0.965049,0.00357484,1.5e-16,0.965,0.965049,0.965049,0.965049
R500,LI_CONT,NEUTRAL,-,IDDIR_2007 1.1 eV,0.998729,0.997587,0,3.1e-13,0.997587,0.997587,0.997587,0.997587
R800,LI_CONT,NEUTRAL,-,IDDIR_2007 1.1 eV,0.999877,0.999993,0,0.0e+00,0.999993,0.999993,0.999993,0.999993
R1000,LI_CONT,NEUTRAL,-,IDDIR_2007 1.1 eV,0.99985,0.999999,0,1.5e-16,0.999999,0.999999,0.999999,0.999999
R500,LI_CONT,NEUTRAL,-,UBERUAGA_2011 1.5 eV,0.998943,0.997587,0,2.3e-13,0.997625,0.997592,0.997587,0.997587
R800,LI_CONT,NEUTRAL,-,UBERUAGA_2011 1.5 eV,0.999844,0.999993,0,2.9e-16,0.999992,0.999993,0.999993,0.999993
R1000,LI_CONT,NEUTRAL,-,UBERUAGA_2011 1.5 eV,0.999778,0.999999,0,2.9e-16,0.999999,0.999999,0.999999,0.999999
R500,LI_CONT,LOCAL,-,IDDIR_2007 1.1 eV,0.209172,0.175922,0.00254484,0.0e+00,0.175922,0.175922,0.175922,0.175922
R800,LI_CONT,LOCAL,-,IDDIR_2007 1.1 eV,0.220662,0.241026,3.28423e-05,3.5e-15,0.241026,0.241026,0.241026,0.241026
R1000,LI_CONT,LOCAL,-,IDDIR_2007 1.1 eV,0.242559,0.249025,2.61168e-08,6.8e-15,0.249025,0.249025,0.249025,0.249025
R500,LI_CONT,LOCAL,-,UBERUAGA_2011 1.5 eV,0.213497,0.175922,0.546608,7.7e-16,0.176747,0.175922,0.175922,0.175922
R800,LI_CONT,LOCAL,-,UBERUAGA_2011 1.5 eV,0.214599,0.241026,0.00659067,1.5e-15,0.240969,0.241026,0.241026,0.241026
R1000,LI_CONT,LOCAL,-,UBERUAGA_2011 1.5 eV,0.237207,0.249025,5.24102e-06,1.5e-14,0.249022,0.249025,0.249025,0.249025
